name,area,url
"The Original Ivy, West End",Unknown,https://ivycollection.com/restaurants/the-ivy-west-street/
The Ivy Soho Brasserie,Soho Brasserie,https://ivycollection.com/restaurants/the-ivy-soho-brasserie/
The Ivy Kensington Brasserie,Kensington Brasserie,https://ivycollection.com/restaurants/the-ivy-kensington-brasserie/
The Ivy Cafe Marylebone,Cafe Marylebone,https://ivycollection.com/restaurants/the-ivy-cafe-marylebone/
The Ivy Richmond Brasserie,Richmond Brasserie,https://ivycollection.com/restaurants/the-ivy-richmond-brasserie/
The Ivy St John's Wood,St John's Wood,https://ivycollection.com/restaurants/the-ivy-st-johns-wood/
The Ivy Chelsea Garden,Chelsea Garden,https://ivycollection.com/restaurants/the-ivy-chelsea-garden/
The Ivy Victoria Brasserie,Victoria Brasserie,https://ivycollection.com/restaurants/the-ivy-victoria/
The Ivy Cafe Blackheath,Cafe Blackheath,https://ivycollection.com/restaurants/the-ivy-cafe-blackheath/
The Ivy Cafe Wimbledon,Cafe Wimbledon,https://ivycollection.com/restaurants/the-ivy-cafe-wimbledon
"The Ivy City Garden, Liverpool Street",City Garden,https://ivycollection.com/restaurants/the-ivy-city-garden/
"The Ivy In The Park, Canary Wharf",In The Park,https://ivycollection.com/restaurants/the-ivy-in-the-park/
"The Ivy Market Grill, Covent Garden",Market Grill,https://ivycollection.com/restaurants/the-ivy-market-grill/
The Ivy Tower Bridge,Tower Bridge,https://ivycollection.com/restaurants/the-ivy-tower-bridge/
Granary Square London,Unknown,https://ivycollection.com/restaurants/granary-square-brasserie/
The Ivy Bath Brasserie & Garden,Bath Brasserie & Garden,https://ivycollection.com/restaurants/the-ivy-bath-brasserie-and-garden/
The Ivy Clifton Brasserie,Clifton Brasserie,https://ivycollection.com/restaurants/the-ivy-clifton-brasserie/
The Ivy Exeter,Exeter,https://ivycollection.com/restaurants/the-ivy-exeter/
"The Ivy Montpellier Brasserie, Cheltenham",Montpellier Brasserie,https://ivycollection.com/restaurants/the-ivy-montpellier-brasserie/
The Ivy Brasserie Bournemouth,Brasserie Bournemouth,https://ivycollection.com/restaurants/the-ivy-bournemouth-brasserie/
The Ivy Cambridge Brasserie,Cambridge Brasserie,https://ivycollection.com/restaurants/the-ivy-cambridge-brasserie/
"The Ivy Castle View, Guildford",Castle View,https://ivycollection.com/restaurants/the-ivy-castle-view/
The Ivy Cobham Garden,Cobham Garden,https://ivycollection.com/restaurants/the-ivy-cobham-garden/
"The Ivy In The Lanes, Brighton",In The Lanes,https://ivycollection.com/restaurants/the-ivy-in-the-lanes/
The Ivy Marlow Garden,Marlow Garden,https://ivycollection.com/restaurants/the-ivy-marlow-garden/
The Ivy Royal Tunbridge Wells,Royal Tunbridge Wells,https://ivycollection.com/restaurants/the-ivy-royal-tunbridge-wells/
The Ivy Oxford Brasserie,Oxford Brasserie,https://ivycollection.com/restaurants/the-ivy-oxford-brasserie/
The Ivy St Albans Brasserie,St Albans Brasserie,https://ivycollection.com/restaurants/the-ivy-st-albans-brasserie/
The Ivy Winchester Brasserie,Winchester Brasserie,https://ivycollection.com/restaurants/the-ivy-winchester-brasserie/
The Ivy Chichester Brasserie,Chichester Brasserie,https://ivycollection.com/restaurants/the-ivy-chichester-brasserie/
The Ivy Royal Windsor Brasserie,Royal Windsor Brasserie,https://ivycollection.com/restaurants/the-ivy-royal-windsor-brasserie/
The Ivy Canterbury Brasserie,Canterbury Brasserie,https://www.ivycollection.com/restaurants/the-ivy-canterbury-brasserie/
"The Ivy Spinningfields Brasserie, Manchester",Spinningfields Brasserie,https://ivycollection.com/restaurants/the-ivy-manchester/
"The Ivy Spinningfields Roof Garden, Manchester",Spinningfields Roof Garden,https://ivycollection.com/restaurants/the-ivy-manchester/
The Ivy Liverpool Brasserie,Liverpool Brasserie,https://ivycollection.com/restaurants/the-ivy-liverpool-brasserie/
The Ivy Harrogate Brasserie and Garden,Harrogate Brasserie and Garden,https://ivycollection.com/restaurants/the-ivy-harrogate-brasserie-and-garden/
"The Ivy St Helens Square, York",St Helens Square,https://ivycollection.com/restaurants/the-ivy-st-helens-square/
"The Ivy Victoria Quarter Brasserie, Leeds",Victoria Quarter Brasserie,https://ivycollection.com/restaurants/the-ivy-victoria-quarter-brasserie/
"The Ivy Temple Row, Birmingham",Temple Row,https://ivycollection.com/restaurants/the-ivy-temple-row/
"The Ivy On The Square, Edinburgh",On The Square,https://ivycollection.com/restaurants/the-ivy-on-the-square/
"The Ivy Buchanan Street, Glasgow",Buchanan Street,https://ivycollection.com/restaurants/the-ivy-glasgow/
"The Ivy Dawson Street, Dublin",Dawson Street,https://ivycollection.com/restaurants/the-ivy-dawson-street/
The Ivy Cardiff,Cardiff,https://ivycollection.com/restaurants/the-ivy-cardiff/
The Ivy Brasserie Belfast,Brasserie Belfast,https://ivycollection.com/restaurants/the-ivy-belfast-brasserie/
The Ivy Norwich Brasserie,Norwich Brasserie,https://ivycollection.com/restaurants/the-ivy-norwich-brasserie/
